platform;name;release_year;genre;cover_image
PC;Grand Theft Auto V;17/09/2013;Action;pc.jpg
PlayStation 5;Grand Theft Auto V;17/09/2013;Action;ps5.jpg
Xbox One;Grand Theft Auto V;17/09/2013;Action;xboxone.jpg
PlayStation 4;Grand Theft Auto V;17/09/2013;Action;ps4.jpg
Xbox Series S/X;Grand Theft Auto V;17/09/2013;Action;xboxseries.jpg
Xbox 360;Grand Theft Auto V;17/09/2013;Action;xbox360.jpg
PlayStation 3;Grand Theft Auto V;17/09/2013;Action;ps3.jpg
PC;Red Dead Redemption 2;26/10/2018;Action;pc.jpg
Xbox One;Red Dead Redemption 2;26/10/2018;Action;xboxone.jpg
PlayStation 4;Red Dead Redemption 2;26/10/2018;Action;ps4.jpg
PC;Grand Theft Auto IV;29/04/2008;Action;pc.jpg
Xbox One;Grand Theft Auto IV;29/04/2008;Action;xboxone.jpg
Xbox 360;Grand Theft Auto IV;29/04/2008;Action;xbox360.jpg
PlayStation 3;Grand Theft Auto IV;29/04/2008;Action;ps3.jpg
PC;Rise of the Tomb Raider;10/11/2015;Action;pc.jpg
Xbox One;Rise of the Tomb Raider;10/11/2015;Action;xboxone.jpg
PlayStation 4;Rise of the Tomb Raider;10/11/2015;Action;ps4.jpg
PC;Batman: Arkham Knight;23/06/2015;Action;pc.jpg
Xbox One;Batman: Arkham Knight;23/06/2015;Action;xboxone.jpg
PlayStation 4;Batman: Arkham Knight;23/06/2015;Action;ps4.jpg
Nintendo Switch;Batman: Arkham Knight;23/06/2015;Action;ns.jpg
PC;Grand Theft Auto: San Andreas;26/10/2004;Action;pc.jpg
Xbox One;Grand Theft Auto: San Andreas;26/10/2004;Action;xboxone.jpg
PlayStation 4;Grand Theft Auto: San Andreas;26/10/2004;Action;ps4.jpg
Xbox 360;Grand Theft Auto: San Andreas;26/10/2004;Action;xbox360.jpg
Xbox;Grand Theft Auto: San Andreas;26/10/2004;Action;xbox.jpg
PlayStation 3;Grand Theft Auto: San Andreas;26/10/2004;Action;ps3.jpg
PlayStation 2;Grand Theft Auto: San Andreas;26/10/2004;Action;ps2.jpg
PC;Assassin's Creed IV: Black Flag;29/10/2013;Action;pc.jpg
PlayStation 4;Assassin's Creed IV: Black Flag;29/10/2013;Action;ps4.jpg
Xbox One;Assassin's Creed IV: Black Flag;29/10/2013;Action;xboxone.jpg
Nintendo Switch;Assassin's Creed IV: Black Flag;29/10/2013;Action;ns.jpg
Xbox 360;Assassin's Creed IV: Black Flag;29/10/2013;Action;xbox360.jpg
PlayStation 3;Assassin's Creed IV: Black Flag;29/10/2013;Action;ps3.jpg
PC;The Darkness II;07/02/2012;Action;pc.jpg
Xbox One;The Darkness II;07/02/2012;Action;xboxone.jpg
Xbox 360;The Darkness II;07/02/2012;Action;xbox360.jpg
PlayStation 3;The Darkness II;07/02/2012;Action;ps3.jpg
PC;Darksiders;27/01/2010;Action;pc.jpg
Xbox One;Darksiders;27/01/2010;Action;xboxone.jpg
Nintendo Switch;Darksiders;27/01/2010;Action;ns.jpg
Xbox 360;Darksiders;27/01/2010;Action;xbox360.jpg
PlayStation 3;Darksiders;27/01/2010;Action;ps3.jpg
PC;Assassin's Creed II;17/11/2009;Action;pc.jpg
Xbox One;Assassin's Creed II;17/11/2009;Action;xboxone.jpg
PlayStation 4;Assassin's Creed II;17/11/2009;Action;ps4.jpg
Xbox 360;Assassin's Creed II;17/11/2009;Action;xbox360.jpg
PlayStation 3;Assassin's Creed II;17/11/2009;Action;ps3.jpg
PC;Assassin's Creed III;30/10/2012;Action;pc.jpg
Xbox One;Assassin's Creed III;30/10/2012;Action;xboxone.jpg
PlayStation 4;Assassin's Creed III;30/10/2012;Action;ps4.jpg
Xbox 360;Assassin's Creed III;30/10/2012;Action;xbox360.jpg
PlayStation 3;Assassin's Creed III;30/10/2012;Action;ps3.jpg
PC;Assassin's Creed Unity;11/11/2014;Action;pc.jpg
Xbox One;Assassin's Creed Unity;11/11/2014;Action;xboxone.jpg
PlayStation 4;Assassin's Creed Unity;11/11/2014;Action;ps4.jpg
PC;Batman: Arkham City;18/10/2011;Action;pc.jpg
Xbox One;Batman: Arkham City;18/10/2011;Action;xboxone.jpg
PlayStation 4;Batman: Arkham City;18/10/2011;Action;ps4.jpg
Nintendo Switch;Batman: Arkham City;18/10/2011;Action;ns.jpg
Xbox 360;Batman: Arkham City;18/10/2011;Action;xbox360.jpg
PlayStation 3;Batman: Arkham City;18/10/2011;Action;ps3.jpg
PC;Devil May Cry 5;08/03/2019;Action;pc.jpg
PlayStation 5;Devil May Cry 5;08/03/2019;Action;ps5.jpg
Xbox One;Devil May Cry 5;08/03/2019;Action;xboxone.jpg
PlayStation 4;Devil May Cry 5;08/03/2019;Action;ps4.jpg
PC;SMITE;19/08/2015;Action;pc.jpg
Xbox One;SMITE;19/08/2015;Action;xboxone.jpg
PlayStation 4;SMITE;19/08/2015;Action;ps4.jpg
Nintendo Switch;SMITE;19/08/2015;Action;ns.jpg
PC;Batman: Arkham Asylum;25/08/2009;Action;pc.jpg
Xbox One;Batman: Arkham Asylum;25/08/2009;Action;xboxone.jpg
PlayStation 4;Batman: Arkham Asylum;25/08/2009;Action;ps4.jpg
Nintendo Switch;Batman: Arkham Asylum;25/08/2009;Action;ns.jpg
Xbox 360;Batman: Arkham Asylum;25/08/2009;Action;xbox360.jpg
PlayStation 3;Batman: Arkham Asylum;25/08/2009;Action;ps3.jpg
PC;Metal Gear Rising: Revengeance;19/02/2013;Action;pc.jpg
Xbox One;Metal Gear Rising: Revengeance;19/02/2013;Action;xboxone.jpg
Xbox 360;Metal Gear Rising: Revengeance;19/02/2013;Action;xbox360.jpg
PlayStation 3;Metal Gear Rising: Revengeance;19/02/2013;Action;ps3.jpg
PC;Assassin's Creed Syndicate;23/10/2015;Action;pc.jpg
Xbox One;Assassin's Creed Syndicate;23/10/2015;Action;xboxone.jpg
