"Title","Developer(s)","Publisher(s)","Release date","Ref."
"B.Ark","TicToc Games","TicToc Games","July 29, 2021","[1][2]"
"B-Project Ryūsei*Fantasia","Mages","Mages","September 30, 2021",""
"Baba Is You","Hempuli","Hempuli","March 13, 2019",""
"Babol the Walking Box","Gamecom Team","Gamecom Team","TBA","[3]"
"Baby Puzzle: First Learning Shapes for Toddlers","winterworks","winterworks","January 11, 2021","[4]"
"Baby Shark: Sing & Swim Party","Recotechnology S.L.","Outright Games","September 15, 2023","[5][6]"
"Back in 1995","Ratalaika Games","Ratalaika Games","May 23, 2019","[7][8][9][10][11][12]"
"Back to Bed","2Awesome Studio","2Awesome Studio","April 11, 2019","[13]"
"Backbone","EggNut","Raw Fury","June 8, 2020","[14]"
"Backworlds","Logic Ember Limited","Skymap Games","May 20, 2021","[15]"
"Bacon Man: An Adventure","Skymap Games","Skymap Games","September 29, 2020","[16][17]"
"Bad Dream: Coma","Desert Fox","Forever Entertainment","January 24, 2019","[18]"
"Bad Dream: Fever","Forever Entertainment","Forever Entertainment","March 14, 2019","[19][20]"
"Bad North","Plausible Concept","Raw Fury","August 20, 2018",""
"Bada Space Station","Terahard Studios","Terahard Studios","TBA","[21]"
"Badland: Game of the Year Edition","Frogmind","QubicGames","August 6, 2021",""
"BAFL: Brakes Are for Losers","Oudidon","Playdius Entertainment","April 19, 2018","[22]"
"Bai Qu: Hundreds of Melodies","Magenta Factory","Ratalaika Games","July 9, 2021","[23]"
"Baila Latino","My World","My World","December 3, 2020","[24]"
"Bake 'N Switch","Streamline Games","Streamline Games","September 10, 2020","[25][26][27]"
"Bakery Master","Piotr Skalski","Piotr Skalski","February 23, 2021","[28][29]"
"Bakugan: Champions of Vestroia","WayForward","Warner Bros. Interactive Entertainment","November 3, 2020","[30]"
"Bakumatsu Renka Shinsengumi","VRIDGE","D3 Publisher","June 17, 2021","[31][32]"
"Bakutsuri Hunters","Bandai Namco Studios","Bandai Namco Entertainment","December 7, 2019","[33]"
"Balan Wonderworld","Arzest","Square Enix","March 26, 2021",""
"Balance Blox","EntwicklerX","EntwicklerX","January 24, 2019","[34][35]"
"Balancelot","Jestercraft, AnvilBird Interactive","Ratalaika Games","January 22, 2021","[36][37]"
"Baldo","Naps Team","Naps Team","August 26, 2021",""
"Baldur's Gate: Dark Alliance","Black Isle Studios","Wizards of the Coast","May 20, 2021",""
"Baldur's Gate: Enhanced Edition","Beamdog","Skybound Games","October 15, 2019",""
"Baldur's Gate II: Enhanced Edition","Beamdog","Skybound Games","October 15, 2019",""
"Ball Attraction","Rising Win Tech","Rising Win Tech","September 19, 2019","[38][39]"
"Ball Physics Draw Puzzles","Benjamin Kistler","Kistler Benjamin","September 10, 2021","[40][41]"
"Ball Physics Draw Puzzles 2","Benjamin Kistler","Kistler Benjamin","October 21, 2021","[42][43]"
"Balloon Girl","Nerdvision Games","Nerdvision Games","March 30, 2021","[44][45]"
"Balloon Pop for Toddlers & Kids: Learn Numbers, Letters, Colors & Animals","Winterworks","JP: Rainy FrogWW: Winterworks","July 1, 2020","[46][47]"
"Balloon Pop: Learning Letters, Numbers, Colors, Game for Kids","McPeppergames","McPeppergames","October 7, 2021","[48][49]"
"BallzOut","4MB Interactive","4MB Interactive","August 31, 2020","[50][51]"
"Balthazar's Dream","Dolores Entertainment","JP: CosenWW: Dolores Entertainment","November 14, 2019","[52][53]"
"Bamerang","Lululu Entertainment","Lululu Entertainment","April 22, 2021","[54]"
"Banana Treasures Island","Max Interactive Studio","Max Interactive Studio","October 26, 2020","[55]"
"BanG Dream! Girls Band Party!","Craft Egg","Bushiroad","September 16, 2021",""
"Banner of the Maid","Azure Flame Studio","CE-Asia","August 12, 2020","[56]"
"The Banner Saga","Stoic Studio","Versus Evil","May 17, 2018",""
"The Banner Saga 2","Stoic Studio","Versus Evil","June 7, 2018",""
"The Banner Saga 3","Stoic Studio","Versus Evil","July 26, 2018",""
"Banners of Ruin","MonteBearo","Goblinz Studio","July 29, 2021","[57][58]"
"Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos","Celery Emblem","Zerouno Games","May 24, 2018","[59][60]"
"Baobabs Mausoleum Ep. 2: 1313 Barnabas Dead End Drive","Celery Emblem","Zerouno Games","June 27, 2019","[61][62]"
"Baobabs Mausoleum Ep. 3: Un Pato en Muertoburgo","Celery Emblem","Zerouno Games","November 21, 2019","[63][64]"
"Barbarous: Tavern of Emyr","SQRT3","QubicGames","December 25, 2019","[65][66]"
"Barbearian","Kimmo Factor","Kimmo Factor","October 29, 2020","[67][68]"
"Barbero","Forever Entertainment","Forever Entertainment","October 14, 2021","[69][70]"
"Bard's Gold","Pixel Lantern","Pixel Lantern","March 5, 2019","[71][72][73]"
"The Bard's Tale ARPG: Remastered and Resnarkled","InXile Entertainment","InXile Entertainment","June 17, 2020","[74][75]"
"Bargain Hunter","Silver Cow Studio","Silver Cow Studio","March 15, 2019","[76][77]"
"Baron: Fur Is Gonna Fly","Dogmelon Games","Dogmelon Games","March 4, 2020","[78]"
"Baroque","Sting Entertainment","Sting Entertainment","November 12, 2020",""
"Barrage Fantasia","Hanaji Games","Hanaji Games","March 25, 2021","[79]"
"Barricadez ReVisited","FlyPenguin","FlyPenguin","September 30, 2021","[80][81]"
"Barrier X","HypeTrain Digital","HypeTrain Digital","September 3, 2019","[82][83]"
"Barry Bradford's Putt Panic Party","Tacs Games","Tacs Games","September 26, 2019","[84][85]"
"Barry the Bunny","lightUp","Ratalaika Games","August 13, 2021","[86][87]"
"Baseball Riot","10tons","10tons","January 19, 2018","[88][89]"
"Bash The Bear","FuryLion","FuryLion Group","January 16, 2019","[90][91]"
"Basketball","Sabec","Sabec","November 28, 2018","[92]"
"Basketball Club Story","Kairosoft","Kairosoft","June 3, 2021","[93][94]"
"Basketball Pinball","Super PowerUp Games","SuperPowerUpGames","June 4, 2021","[95][96]"
"Bass Pro Shops: The Strike Championship Edition","Saber Interactive","Planet Entertainment","October 23, 2018","[97][98][99]"
"Bastion","Supergiant Games","Supergiant Games","September 13, 2018",""
"Bat Boy","Sonzai Games","X Plus Games","2022","[100]"
"Batbarian: Testament of the Primordials","Dangen Entertainment","Dangen Entertainment","October 15, 2020","[101][102]"
"Baten Kaitos I & II HD Remaster","Monolith Soft","Bandai Namco","September 15, 2023","[103]"
"Batman: Arkham Trilogy","Rocksteady Studios","Warner Bros. Games","December 1, 2023","[104]"
"Batman: The Enemy Within","Telltale Games","Telltale Games","October 2, 2018",""
"Batman: The Telltale Series","Telltale Games","Telltale Games","November 14, 2017",""
"Batora: Lost Haven","Stormind Games","Team17","2022","[105]"
"BATS: Bloodsucker Anti-Terror Squad","Ritual Games","The Media Indie Exchange","October 20, 2021","[106][107]"
"Battery Jam","Halseo","Halseo","November 22, 2018","[108][109]"
"Battle & Crash","Sims","Starsign","July 18, 2019","[110][111][112]"
"Battle Axe","Henk Nieborg","JP: ToyboxWW: Numskull Games","April 29, 2021","[113][114][115]"
"Battle Brothers","Ukiyo Publishing","Ukiyo Publishing","March 11, 2021","[116][117][118]"
"Battle Calculator","Blacksmith DoubleCircle","Blacksmith DoubleCircle","August 5, 2021","[119][120][121][122]"
"Battle Chasers: Nightwar","Airship Syndicate","THQ Nordic","May 15, 2018",""
"Battle Chef Brigade","Trinket Studios","Adult Swim Games","November 20, 2017",""
"Battle for Blood","YFC Games","YFC Games","January 22, 2021","[36][123]"
"Battle Group 2","Merge Games","Merge Games","October 11, 2018","[124] [125][126]"
"Battle Hunters","Phase Two","Phase Two","November 5, 2020","[127][128][129]"
"Battle of Archers","Gametry","Gametry","October 14, 2021","[130][131]"
"Battle of Kings","Wenkly Studio","Wenkly Studio","September 17, 2020","[132][133]"
"The Battle of Mahjong","Kusone Studio","Kusone Studio","September 5, 2019","[134][135]"
"Battle Planet: Judgement Day","Threaks","Wild River Games","October 17, 2019","[136][137]"
"Battle Princess Madelyn","Causal Bit Games","Causal Bit Games","December 20, 2018","[138][139][140][141][142]"
"Battle Princess Madelyn Royal Edition","Causal Bit Games","Causal Bit Games","April 9, 2020","[143][144]"
"Battle Spirits: Connected Battlers","FuRyu","FuRyu","April 14, 2022","[145][146]"
"Battle Supremacy","Atypical Games","Atypical Games","August 2, 2018","[147]"
"Battle Supremacy: Evolution","Atypical Games","Atypical Games","September 12, 2019","[148]"
"Battle Supremacy: Ground Assault","Atypical Games","Atypical Games","September 5, 2019","[134]"
"Battle Worlds: Kronos","King Art","THQ Nordic","June 11, 2019","[149]"
"Battleground","Sabec","Sabec","January 30, 2020","[150][151]"
"Battleship","Marmalade Game Studio","Marmalade Game Studio","July 24, 2019","[152][153]"
"Battlesloths","Invisible Collective","Invisible Collective","February 27, 2020","[154][155]"
"Battlestar Galactica Deadlock","Black Lab Games, Slitherine","Slitherine Software","October 8, 2019","[156]"
"Battlezone: Gold Edition","Rebellion Developments","Rebellion Developments","November 8, 2018",""
"Battlloon","noname studio","Sony Music Entertainment","February 28, 2019","[157][158]"
"Battojutsu","Kikkawa Keita","Caerux","December 12, 2019","[159]"
"Batu Ta Batu","2Awesome Studio","JP: EastAsiaSoftWW: 2Awesome Studio","September 4, 2020","[160][161]"
"Bayala: The Game","Independent Arts Software","EuroVideo Medien","October 24, 2019","[162][163]"
"Bayonetta","PlatinumGames","Nintendo","February 16, 2018",""
"Bayonetta 2","PlatinumGames","Nintendo","February 16, 2018",""
"Bayonetta 3","PlatinumGames","Nintendo","October 28, 2022",""
"Bayonetta Origins: Cereza and the Lost Demon","PlatinumGames","Nintendo","March 17, 2023",""
"BDSM: Big Drunk Satanic Massacre","Big Way Games","JP: EastAsiaSoftWW: Big Way Games","October 10, 2019","[164][165][166]"
"BE-A Walker","Sonka","Sonka","February 28, 2020","[167]"
"Be a Poker Champion! Texas Hold'em","SilverStarJapan","SilverStar","May 13, 2021","[168]"
"Beach Bounce Remastered","Dharker Studio","Gamuzumi","May 6, 2021","[169]"
"Beach Buggy Racing","Vector Unit","Vector Unit","September 14, 2017",""
"Beach Buggy Racing 2: Island Adventure","Vector Unit","Vector Unit","March 17, 2021",""
"Beach Volleyball Challenge","Simplicity Tomasz Dyrak","Simplicity Tomasz Dyrak","September 24, 2021","[170]"
"The Bear And The Admiral","Jack Boylan","Jack Boylan","October 7, 2021","[171]"
"Bear and Breakfast","Gummy Cat","Armor Games","September 15, 2022","[172]"
"Bear with Me","Exordium Games","Exordium Games","July 9, 2019",""
"Bear with Me: The Lost Robots","Exordium Games","Exordium Games","July 31, 2019",""
"Bear's Restaurant","Odencat","Odencat","June 17, 2021","[173]"
"Beast Breaker","Vodeo Games","Vodeo Games","September 23, 2021","[174][175]"
"Beast Darling: Kemonomimi Danshi to Himitsu no Ryou","Caerux","Caerux","September 27, 2018","[176] [177]"
"Beast Quest","Torus Games","Maximum Games","October 11, 2019",""
"Beastmaster and Princes: Flower & Snow","Design Factory","Idea Factory","May 30, 2019","[178] [179]"
"Beasts of Maravilla Island","Banana Bird Studios","Whitethorn Digital","June 12, 2021","[180][181]"
