"Title","Developer(s)","Publisher(s)","Release date","Ref."
".hack//G.U. Last Recode","CyberConnect2","Bandai Namco Entertainment","March 10, 2022",""
"Hades","Supergiant Games","Supergiant Games","September 17, 2020",""
"Hakoniwa Explorer Plus","Suxamethonium","Playism","June 18, 2020","[1]"
"Hakuoki Shinkai: Ginsei no Shou","Otomate","Idea Factory","July 30, 2020",""
"Hakuoki Shinkai: Tsukikage no Shou","Otomate","Idea Factory","September 26, 2019",""
"Half Past Fate","Serenity Forge","Way Down Deep","March 12, 2020","[2]"
"Hamidashi Creative","Madosoft","iMel","June 24, 2021","[3]"
"Hammerwatch","Crackshell","BlitWorks","December 14, 2017","[4]"
"Hamster Bob","Wild Berry Games","Sonka","July 24, 2020","[5][6]"
"Hamsterdam","Muse Games","Muse Games","August 1, 2019","[7][8][9]"
"Hanayaka Nari, Waga Ichizoku Gentou Nostalgie","Otomate","Idea Factory","June 20, 2019","[10]"
"Hanayaka Nari, Waga Ichizoku Modern Nostalgie","Otomate","Idea Factory","May 16, 2019","[11]"
"Hand of Fate 2","Defiant Development","Defiant Development","July 17, 2018",""
"Happy Animals Bowling","Room710Games","Room710Games","November 29, 2019","[12][13]"
"Happy Game","Amanita Design","Amanita Design","October 28, 2021",""
"Hard West: Complete Edition","Forever Entertainment","Forever Entertainment","March 7, 2019",""
"Hardcore Mecha","RocketPunch Games","Lightning Games","October 15, 2020","[14][15]"
"Harmony: The Fall of Reverie","Don't Nod","Don't Nod","June 8, 2020","[16]"
"Harry Potter: Quidditch Champions","Unbroken Studios","Warner Bros. Games","November 8, 2024",""
"Harukanaru Toki no Naka de 7","Ruby Party","Koei Tecmo","June 18, 2020","[17]"
"Harvest Moon: Light of Hope","Natsume Inc.","NA: Natsume Inc.PAL: Rising Star Games","May 29, 2018",""
"Harvest Moon: Mad Dash","Natsume Inc.","Natsume Inc.","October 29, 2019",""
"Harvest Moon: One World","Natsume Inc.","NA: Natsume Inc.PAL: Rising Star Games","March 2, 2021",""
"Harvestella","Square Enix","Square Enix","November 4, 2022","[18]"
"Has-Been Heroes","Frozenbyte","GameTrust","March 28, 2017",""
"Hasbro Game Night for Nintendo Switch","Asobo Studio, Engine Software, Ubisoft Chengdu","Ubisoft","October 30, 2018",""
"Hashihime of the Old Book Town append","HuneX","HuneX","December 16, 2021","[19]"
"A Hat in Time","Gears for Breakfast","Humble Bundle","October 18, 2019",""
"Hatch Tales","Atooi","Atooi","TBA","[20]"
"Hatsune Miku: Project Diva Mega Mix","Sega AM2","Sega","February 13, 2020",""
"Hatsune Miku: Tsunageru Puzzle Tamagotori","Crypton Future Media","Crypton Future Media","January 27, 2022","[21][22]"
"Hatsune Miku Logic Paint S","Crypton Future Media","Crypton Future Media","March 18, 2021",""
"Haven","The Game Bakers","The Game Bakers","February 4, 2021",""
"Haven Park","BubbleStudio","Mooneye","August 5, 2021",""
"Hayfever","Pixadome","Pixadome","February 25, 2020","[23][24]"
"Headball Soccer Deluxe","Cool Small Games","Cool Small Games","June 28, 2019","[25][26]"
"Headliner: NoviNews","Unbound Creations","Unbound Creations","September 5, 2019","[27]"
"Heads Up! Phones Down Edition","Aspyr","Aspyr","November 9, 2023","[28]"
"Headsnatchers","IguanaBee","Iceberg Interactive","November 7, 2019","[29]"
"Heart&Slash","Aheartfulofgames","BadLand Games","December 21, 2017","[30]"
"Heart of the Woods","Studio Elan, Ratalaika Games","Sekai Games","July 8, 2021","[31]"
"HeatWave","Perimeter Games","Perimeter Games","2022",""
"Heave Ho","Le Cartel","Devolver Digital","August 29, 2019","[32]"
"Heaven Dust","One Gruel Studio","Indienova","February 27, 2020","[33][34]"
"Heaven's Vault","Inkle","Inkle","January 28, 2021",""
"Helheim Hassle","Perfectly Paranormal","Perfectly Paranormal","August 18, 2020","[35][36]"
"Hell Is Other Demons","Cuddle Monster Games","Kongregate","April 18, 2019","[37][38][39]"
"Hell Pie","Sluggerfly","Headup Games","July 21, 2022","[40]"
"Hell Warders","Anti Gravity Game Studios","PQube","February 21, 2019","[41][42][43]"
"Hellblade: Senua's Sacrifice","Ninja Theory","Ninja Theory","April 11, 2019",""
"Hellmut: The Badass from Hell","Grindstone","NA: 2tainmentPAL: Grindstone","May 3, 2019","[44][45]"
"Hello Kitty and Friends: Happiness Parade","Dabadu Games","Rogue Games","April 13, 2024","[46]"
"Hello Kitty Kruisers","Scarab Entertainment","Rising Star Games","April 24, 2018",""
"Hello Neighbor","Dynamic Pixels","TinyBuild","July 27, 2018",""
"Hello Neighbor: Hide and Seek","Dynamic Pixels","TinyBuild","December 7, 2018",""
"Hellpoint","Cradle Games","TinyBuild","February 25, 2021",""
"Help Me Doctor","IceTorch Interactive, Angry Angel Games","Ultimate Games","February 10, 2020","[47][48]"
"Her Majesty's Ship","Every Single Soldier","Ultimate Games","September 15, 2020","[49][50]"
"Her Majesty's Spiffing","Billy Goat Entertainment","Billy Goat Entertainment","February 1, 2018",""
"Hero Must Die. Again","Pyramid, G-Mode","Degica Games","February 27, 2020",""
"Hero Pop","Digital Game Group","Digital Game Group","June 4, 2021",""
"Heroes of the Monkey Tavern","Monkey Stories","JP: Rainy FrogWW: Monkey Stories","November 7, 2017","[51]"
"Heroes Trials","Shinyuden","Ratalaika Games","January 25, 2019","[52][53][54]"
"Heroine Anthem Zero Episode 1","WindThunder Studio","Winking","May 23, 2019","[55][56][57]"
"Heroland","Netchubiyori","JP: FuRyuNA: Xseed GamesPAL: Marvelous Europe","October 4, 2018","[58][59][60]"
"Hexagroove: Tactical DJ","iNiS","Ichigoichie","October 3, 2019","[61][62]"
"Hexologic","MythicOwl","MythicOwl","June 12, 2018","[63]"
"Hextech Mayhem: A League of Legends Story","Choice Provisions","Riot Forge","November 16, 2021",""
"Hide & Dance!","hap Inc.","Kemco","October 1, 2020",""
"Hidden Folks","Adriaan de Jongh","Adriaan de Jongh","October 31, 2018",""
"Hidden Objects Collection","","Solutions 2 Go Inc","October 6, 2020",""
