"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"","","","Japan","","Europe/PAL","North America"
"M&Ms Shell Shocked","Boston Animation","NASimon & Schuster Interactive, PALJoWooD Productions","Unreleased","July 20, 2003","September 28, 2001","[1]"
"m: Kimi o Tsutaete","Nexus Interact","Nexus Interact","December 20, 1996","Unreleased","Unreleased",""
"Maboroshi Tsukiyo","SIMS","Kaga Tech","April 6, 2000","Unreleased","Unreleased",""
"Machine Head•Blam! MachineheadPAL","Core Design","Eidos Interactive","May 23, 1997","October 1996","November 15, 1996",""
"Machine Hunter","Eurocom","MGM Interactive","Unreleased","Unreleased","August 31, 1997",""
"Macross Digital Mission VF-X","UNiT Inc.","Bandai Visual","February 28, 1997","Unreleased","Unreleased",""
"Macross: Do You Remember Love?","Scarab","Bandai","May 27, 1999","Unreleased","Unreleased",""
"Macross Plus: Game Edition","Shoeisha","Takara","June 29, 2000","Unreleased","Unreleased",""
"Macross VF-X 2","UNiT Inc.","Bandai","September 2, 1999","Unreleased","Unreleased",""
"Mad Panic Coaster","Hakuhodo","Hakuhodo","November 3, 1997","Unreleased","Unreleased","[2]"
"Mad Stalker: Full Metal Force","Fill-in-Cafe","Family Soft","July 3, 1997","Unreleased","Unreleased",""
"Madden NFL 97","EA Tiburon","EA Sports","Unreleased","1996","August 15, 1996",""
"Madden NFL 98","EA Tiburon","EA Sports","Unreleased","1997","August 26, 1997",""
"Madden NFL 99","EA Tiburon","EA Sports","Unreleased","1998","August 1, 1998",""
"Madden NFL 2000","EA Tiburon","EA Sports","Unreleased","1999","August 31, 1999",""
"Madden NFL 2001","EA Tiburon","EA Sports","Unreleased","2000","August 22, 2000",""
"Madden NFL 2002","EA Tiburon, Budcat Creations","EA Sports","Unreleased","Unreleased","August 15, 2001",""
"Madden NFL 2003","EA Tiburon, Budcat Creations","EA Sports","Unreleased","Unreleased","August 13, 2002",""
"Madden NFL 2004","EA Tiburon, Budcat Creations","EA Sports","Unreleased","Unreleased","August 12, 2003",""
"Madden NFL 2005","EA Tiburon, Budcat Creations","EA Sports","Unreleased","Unreleased","September 14, 2004",""
"The Maestromusic","Global A","Global A","July 27, 2000","Unreleased","Unreleased",""
"The Maestromusic: Encore (Expansion)","Global A","Global A","November 22, 2000","Unreleased","Unreleased",""
"The Maestromusic: Christmas Edition (Expansion)","Global A","Global A","December 7, 2000","Unreleased","Unreleased",""
"Magic Carpet","Krisalis Software","Electronic Arts","February 14, 1997","March 1996","March 15, 1996",""
"Magic: The Gathering: BattleMage","Realtime Associates","Acclaim","Unreleased","Unreleased","September 15, 1997",""
"Magical Date: Doki Doki Kokuhaku Daisakusen","Taito","Taito","November 20, 1997","Unreleased","Unreleased",""
"Magical Dice Kids","SCEI","SCEI","August 3, 2000","Unreleased","Unreleased",""
"Magical Drop","Data East","Data East","January 13, 1996","Unreleased","Unreleased",""
"Magical Drop III•Magical Drop III + Wonderful!JP","Data East","JPData East, PALSwing! Deutschland","February 25, 1999","July 23, 2000","Unreleased",""
"Magical Drop III: Yokubari Tokudaigou!","Data East","Data East","October 30, 1997","Unreleased","Unreleased",""
"Magical Drop F - Daibouken Mo Rakujyanai!","Data East, SAS Sakata","Data East","October 21, 1999","Unreleased","Unreleased",""
"Magical Medical","Konami","Konami","September 10, 1998","Unreleased","Unreleased",""
"Magical Music Eigo de One - Two - Three!","","Bandai","September 21, 2000","Unreleased","Unreleased",""
"Magical Tetris Challenge•Magical Tetris Challenge featuring MickeyJP","Capcom","Capcom","March 18, 1999","March 18, 1999","Unreleased",""
"Magical Zunou Power!! Party Selection","Pixel","Vap","March 19, 1998","Unreleased","Unreleased",""
"Mahjong (Family 1500 Series)","Magnolia","I'Max","November 21, 2002","Unreleased","Unreleased",""
"Mahjong (Hyper Value 2800))","Konami","Konami","January 13, 2000","Unreleased","Unreleased",""
