"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"L no Kisetsu 2: Invisible Memories","5pb","5pb","2008-07-03JP","✔","",""
"L.A. Rush","Midway Games","Midway Games","2005-10-11NA","","✔","✔"
"L'Eredita","Milestone S.r.l","Sony Computer Entertainment","2003-12-03EU","","✔",""
"L2: Love x Loop","Otomate","Idea Factory","2009-08-20JP","✔","",""
"La Corda d'Oro•Kiniro no Corda: La Corda d'OroJP","Koei","Koei","2004-03-18JP","✔","",""
"La Pucelle: Tactics•La PucelleJP, KO•La Pucelle: Hikari no Seijo Densetsu NishūJP","Nippon Ichi Software","Nippon Ichi SoftwareJP, KO, MastiffNA, KoeiPAL","2002-01-31JP","✔JP, KO","✔","✔"
"Lake Masters EX","Dazz","DazzJP, Midas Interactive EntertainmentEU","2000-12-14JP","✔","✔",""
"Lake Masters EX Super","Dazz","Dazz","2001-07-19JP","✔","",""
"Langrisser III","Taito","Taito","2005-10-27JP","✔","",""
"Largo Winch: Empire Under Threat","Ubisoft Paris","Ubisoft","2002-09-06EU","","✔",""
"Lassie","EM Studios","Blast! Entertainment Ltd","2007-10-26EU","","✔",""
"Last Escort 2: Shinya no Amai Toge","Vingt-et-un Systems","D3 Publisher","2008-02-21JP","✔","",""
"Last Escort: Club Katze","Mobile & Gamestudio","D3 Publisher","2010-02-18JP","✔","",""
"Last Escort: Kokuchou Special Night","Vingt-et-un Systems","D3 Publisher","2006-07-27JP","✔","",""
"Last Escort: Shinya no Kokuchou Monogatari","Vingt-et-un Systems","D3 Publisher","2006-01-26JP","✔","",""
"Le Mans 24 Hours","Infogrames Melbourne House","InfogramesEU, NA, SegaJP","2001-06-22EU","✔","✔","✔"
"Le Tour de France","Konami","Konami","2002-06-21EU","","✔",""
"Le Tour de France: Centenary Edition","DC Studios","Konami","2003-06-27EU","","✔",""
"Leaderboard Golf","Aqua Pacific","Midas Interactive Entertainment","2006-03-31EU","","✔",""
"League Series Baseball 2•Magical Sports 2001 KoushienJP","Mahou","MahouJP, Midas Interactive EntertainmentEU","2001-05-31JP","✔","✔",""
"Legacy of Kain: Defiance","Crystal Dynamics","Eidos Interactive","2003-11-11NA","","✔","✔"
"Legaia 2: Duel Saga•Legaia: Duel SagaJP","Prokion","Sony Computer EntertainmentJP, Eidos InteractiveEU, NA","2001-11-29JP","✔","✔","✔"
"The Legend of Alon D'ar","Stormfront Studios","Ubisoft","2001-12-04NA","","","✔"
"Legend of Camelot","Phoenix Games","Phoenix Games","2007EU","","✔",""
