"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"","","","","JP","","","NA","PAL"
"Machinarium","Graphic adventure","Amanita Design","Amanita Design","Sep 18, 2016","Sep 1, 2016","Sep 21, 2016","",""
"Mad Games Tycoon","Business simulation","Eggcode","Toplitz Productions","Unreleased","Nov 14, 2019","Nov 12, 2019","",""
"Mad Max","Action-adventure","Avalanche Studios","WB Games","Oct 1, 2015","Sep 1, 2015","Sep 4, 2015","",""
"Mad Rat Dead","Platformrhythm","Nippon Ichi Software","JP: Nippon Ichi SoftwareWW: NIS America","Oct 29, 2020","Oct 30, 2020","Oct 30, 2020","",""
"Mad Tower Tycoon","Strategysimulation","Eggcode","Toplitz Productions","Unreleased","Nov 24, 2020","Nov 24, 2020","","[1]"
"Made in Abyss: Binary Star Falling into Darkness","Action-role playing","Spike Chunsoft","Spike Chunsoft","Sep 1, 2022","Sep 2, 2022","Sep 2, 2022","",""
"Madden NFL 15","Sports","EA Tiburon","Electronic Arts","Unreleased","Aug 26, 2014","Aug 29, 2014","",""
"Madden NFL 16","Sports","EA Tiburon","Electronic Arts","Unreleased","Aug 25, 2015","Aug 25, 2015","",""
"Madden NFL 17","Sports","EA Tiburon","Electronic Arts","Aug 23, 2016","Aug 23, 2016","Aug 23, 2016","",""
"Madden NFL 18","Sports","EA Tiburon","Electronic Arts","Aug 25, 2017","Aug 25, 2017","Aug 25, 2017","P",""
"Madden NFL 19","Sports","EA Tiburon","Electronic Arts","Aug 10, 2018","Aug 10, 2018","Aug 10, 2018","P",""
"Madden NFL 20","Sports","EA Tiburon","Electronic Arts","Aug 2, 2019","Aug 2, 2019","Aug 2, 2019","P",""
"Madden NFL 21","Sports","EA Tiburon","Electronic Arts","Aug 28, 2020","Aug 28, 2020","Aug 28, 2020","P",""
"Madden NFL 22","Sports","EA Tiburon","Electronic Arts","Aug 20, 2021","Aug 20, 2021","Aug 20, 2021","",""
"Madden NFL 23","Sports","EA Tiburon","Electronic Arts","Aug 19, 2022","Aug 19, 2022","Aug 19, 2022","",""
"Madden NFL 24","Sports","EA Tiburon","Electronic Arts","Aug 18, 2023","Aug 18, 2023","Aug 18, 2023","",""
"Madden NFL 25 (2024)","Sports","EA Tiburon","Electronic Arts","Aug 16, 2024","Aug 16, 2024","Aug 16, 2024","",""
"Madden NFL 25 (2013)","Sports","EA Tiburon","Electronic Arts","Unreleased","Nov 15, 2013","Nov 29, 2013","",""
"Mafia: Definitive Edition","Action-adventure","Hangar 13","2K","Sep 25, 2020","Sep 25, 2020","Sep 25, 2020","P",""
"Mafia II: Definitive Edition","Action-adventure","Hangar 13","2K","May 20, 2020","May 19, 2020","May 19, 2020","P",""
"Mafia III: Definitive Edition","Action-adventure","Hangar 13","2K","May 20, 2020","May 19, 2020","May 19, 2020","P",""
"Mafia III","Action-adventure","Hangar 13","2K","Oct 7, 2016","Oct 7, 2016","Oct 7, 2016","",""
"Mages of Mystralia","Adventure","Borealys Games","Borealys Games","Oct 18, 2018","Aug 22, 2017","Aug 22, 2017","",""
"The Magic Circle: Gold Edition","Sandbox","Question","Question","Unreleased","Jul 9, 2015","Jul 9, 2015","",""
"Magicians Dead: Force of the Soul","Action","Byking","Oizumi Amuzio","TBA","TBA","TBA","","[2]"
"Magicka 2","Action-adventure","Pieces Interactive","Paradox Interactive","Jul 7, 2019","May 26, 2015","May 26, 2015","",""
"Magic Scroll Tactics","Tactical role-playing","Otori Denshi","Mediascape","Apr 10, 2020","Unreleased","Unreleased","","[3]"
"Maglam Lord","Action role-playing","Felistella","JP: D3 PublisherWW: PQube","Mar 18, 2021","Feb 4, 2022","Feb 4, 2022","","[4][5]"
"Mahjong","Puzzle","Sanuk Games","Bigben Interactive","Unreleased","Aug 30, 2016","Aug 30, 2016","",""
"The Making of Karateka","","Digital Eclipse","Digital Eclipse","Aug 29, 2023","Aug 29, 2023","Aug 29, 2023","","[6][7]"
"Maldita Castilla EX","Platform","Abylight Studios","Abylight Studios","Dec 16, 2016","Dec 16, 2016","Jan 11, 2017","",""
"Malicious Fallen","Action","Alvion","Sony Interactive Entertainment","Feb 21, 2017","Feb 21, 2017","Feb 21, 2017","P",""
"Maneater","Action role-playing","Blindside Interactive","Tripwire Interactive","Dec 16, 2020","May 22, 2020","May 22, 2020","CB",""
"The Manga Works","Simulation","Kairosoft","Kairosoft","May 14, 2020","Unreleased","Unreleased","",""
"Manifold Garden","Puzzle","William Chyr Studio","William Chyr Studio","Unreleased","Aug 18, 2020","Aug 18, 2020","",""
"Mantis Burn Racing","Racing","VooFoo Studios","VooFoo Studios","Jun 28, 2018","Oct 12, 2016","Oct 12, 2016","CP  P",""
"Maquette","Puzzle","Graceful Decay","Annapurna Interactive","Mar 2, 2021","Mar 2, 2021","Mar 2, 2021","","[8]"
"Marchen Forest: Mylne and the Forest Gift","Role-playing","PrimaryOrbit","Clouded Leopard Entertainment","Jan 28, 2021","Jan 28, 2021","Jan 28, 2021","","[9]"
"Marenian Tavern Story: Patty and the Hungry God","Role-playingturn-based","Rideon","Kemco","Nov 9, 2018","Nov 27, 2018","Aug 18, 2020","",""
"Mark McMorris Infinite Air","Sports","HB Studios","Maximum Games","Unreleased","Oct 25, 2016","Oct 28, 2016","",""
"Marooners","Action, party","M2H","M2H","Feb 6, 2018","Feb 6, 2018","Feb 6, 2018","",""
"Marsupilami: Hoobadventure","Platform","Ocellus Studio","Microids","Nov 16, 2021","Nov 16, 2021","Nov 16, 2021","",""
"Mars Horizon","Strategysimulation","Auroch Digital","The Irregular Corporation","Unreleased","Nov 17, 2020","Nov 17, 2020","","[10]"
"Martha is Dead","Psychological horror","LKA","Wired Productions","TBA","TBA","TBA","",""
"Marvel Heroes Omega","Massively multiplayer online role-playing","Gazillion EntertainmentSecret Identity Studios","Gazillion Entertainment","Jun 30, 2017","Jun 30, 2017","Jun 30, 2017","",""
