"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"","","","","JP","","","NA","PAL"
"#killallzombies","Shooter","Beatshapers","Digerati","Aug 9, 2016","Oct 27, 2018","Aug 9, 2016","",""
"#Funtime","Twin-stick shooter","One Guy Games","The Quantum Astrophysicists Guild","Jul 15, 2020","Jul 15, 2020","Jul 15, 2020","",""
"#SinucaAttack","Platform, puzzle","EastAsiaSoft","EastAsiaSoft","Feb 9, 2021","Feb 9, 2021","Feb 9, 2021","",""
"#Wargames","Interactive movie","Eko (Interlude)","Eko","Unreleased","Jul 31, 2018","Jul 31, 2018","PA",""
"'n Verlore Verstand","Horror","Skobbejak Games","Skobbejak Games","Unreleased","Apr 21, 2017","Apr 21, 2017","",""
"0 Degrees","Platformer, puzzle","Eastasiasoft, Nerd Games, Kiddo Dev","Eastasiasoft","May 18, 2021","May 18, 2021","May 18, 2021","",""
"10 Second Ninja X","Platform","Four Circle Interactive","Curve Digital","Unreleased","Jul 19, 2016","Jul 19, 2016","",""
"101 Ways to Die","Platformpuzzle","Four Door LemonOn The Metal","Vision Games Publishing","Unreleased","Mar 18, 2016","Mar 18, 2016","",""
"11-11: Memories Retold","Adventure","AardmanDigixArt","Bandai Namco Entertainment","Nov 9, 2018","Nov 9, 2018","Nov 9, 2018","",""
"112th Seed","Platformer, puzzle, action","Eastasiasoft, Nerd Games, Slider Games","Eastasiasoft","Jul 28, 2020","Jul 28, 2020","Jul 28, 2020","",""
"140","Platform","Jeppe Carlsen","Abstraction GamesDouble Fine Productions","Unreleased","Aug 30, 2016","Aug 30, 2016","",""
"1001 Spikes","Platform","Nicalis","Nicalis","Nov 27, 2015","Jun 3, 2014","Jun 3, 2014","",""
"20XX","Roguelikeactionplatformer","Batterystaple Games","Batterystaple GamesFirehose Games","Jul 11, 2018","Jul 11, 2018","Jul 11, 2018","",""
"2064: Read Only Memories","Graphic adventure","MidBoss","MidBoss","Nov 22, 2017","Jan 17, 2017","Jan 17, 2017","",""
"2Dark","Horrorstealth","Gloomywood","Bigben Interactive","Unreleased","Mar 10, 2017","Mar 10, 2017","",""
"2urvive","Top-down shooter","2bad Games","2bad Games","Jun 12, 2019","Jun 12, 2019","Jun 12, 2019","",""
"39 Days to Mars","Adventure","It's Anecdotal","It's Anecdotal","Unreleased","Feb 6, 2019","Feb 6, 2019","",""
"3 Minutes to Midnight","Point-and-click adventure","Scarecrow Studio","Scarecrow Studio","Unreleased","TBA","TBA","",""
"60 Seconds!","Survival","Robot Gentleman","Robot Gentleman","Unreleased","Mar 6, 2020","Mar 6, 2020","",""
"6180 the moon","Platform","Turtle Cream","Turtle Cream","Unreleased","Dec 11, 2015","Dec 11, 2015","",""
"7 Days to Die","Survival horror","The Fun PimpsIron Galaxy","Telltale Publishing","Unreleased","Jun 28, 2016","Jul 1, 2016","",""
"7th Sector","Action-adventure","Noskov Sergey","Sometimes You","Feb 5, 2020","Feb 5, 2020","Feb 5, 2020","",""
"8Days","Shooter","Santa Clara Games","BadLand Games","Unreleased","Feb 6, 2017","Feb 6, 2017","",""
"8-bit Adventure Anthology: Volume I","Point-and-click adventure","Abstraction Games","Abstraction Games","Unreleased","Oct 31, 2017","Oct 31, 2017","",""
"8 to Glory","Sports","Three Gates","Three Gates","Jul 31, 2018","Jul 31, 2018","Sep 14, 2018","",""
"8-Bit Armies","Real-time strategy","Petroglyph Games","Soedesco","Sep 21, 2018","Sep 21, 2018","Sep 21, 2018","",""
"8-Bit Hordes","Real-time strategy","Petroglyph Games","Soedesco","Feb 1, 2019","Feb 1, 2019","Feb 1, 2019","",""
"8-Bit Invaders","Real-time strategy","Petroglyph Games","Soedesco","Feb 26, 2019","Feb 26, 2019","Feb 26, 2019","",""
"88 Heroes","Platform","Bitmap Bureau","Rising Star Games","Unreleased","Mar 24, 2017","Mar 24, 2017","",""
"9 Monkeys of Shaolin","Beat 'em up","Sobaka Studio","JP: TeyonWW: Buka Entertainment","Oct 16, 2020","Oct 16, 2020","Oct 16, 2020","",""
"911 Operator","Simulation","Jutsu Games","Code Horizon","Unreleased","Nov 8, 2017","Nov 8, 2017","",""
"99Vidas","Brawler","QUByte Interactive","QUByte Interactive","Unreleased","Nov 2, 2017","Nov 2, 2017","",""
"Aaero","Shooter","Mad Fellows Games","Reverb Triple XP","Apr 11, 2017","Apr 11, 2017","Apr 11, 2017","X",""
"Aaru's Awakening","Platform","Lumenox Games","Lumenox Games","Unreleased","Apr 22, 2015","Apr 22, 2015","","[1]"
"Abo Khashem","Role-playing","Moving Dimensions","Moving Dimensions","Unreleased","Feb 23, 2018","Feb 23, 2018","",""
"Absolute Drift: Zen Edition","Racing","Funselektor Labs","Flippfly","Unreleased","Aug 25, 2017","Aug 25, 2017","",""
"Absolver","Action","Sloclap","Devolver Digital","Unreleased","Jan 7, 2019","Jan 7, 2019","X",""
"Abyss: The Wraiths of Eden","Hidden object adventure","Artifex Mundi","Artifex Mundi","Unreleased","Oct 20, 2017","Oct 20, 2017","",""
"Abzû","Adventureart","Giant Squid","505 Games","Unreleased","Dec 5, 2016","Dec 5, 2016","",""
"Access Denied","Puzzle","Stately Snail","Ratalaika Games","Feb 6, 2019","Feb 6, 2019","Feb 6, 2019","",""
"Ace Attorney Investigations Collection","Visual novelAdventure","Capcom","Capcom","Sep 6, 2024","Sep 6, 2024","Sep 6, 2024","",""
"Ace Combat 7: Skies Unknown","Flight simulator","Project Aces","Bandai Namco Entertainment","Jan 18, 2019","Jan 18, 2019","Jan 18, 2019","",""
"Aces of the Luftwaffe: Squadron","Shoot 'em up","HandyGames","HandyGames","Unreleased","Jul 24, 2018","Jul 24, 2018","",""
"Achtung! Cthulhu Tactics","Turn-based strategy","Auroch Digital","Ripstone","Unreleased","Nov 23, 2018","Nov 23, 2018","X","[2]"
