platform;slug;name;released;background_image;genre
PC;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
PlayStation 5;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
Xbox One;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
PlayStation 4;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
Xbox Series S/X;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
Xbox 360;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
PlayStation 3;grand-theft-auto-v;Grand Theft Auto V;2013-09-17;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action
PC;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
PlayStation 5;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
Xbox One;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
PlayStation 4;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
Xbox Series S/X;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
Nintendo Switch;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
macOS;the-witcher-3-wild-hunt;The Witcher 3: Wild Hunt;2015-05-18;https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg;Action, RPG
PC;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
Xbox One;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
PlayStation 4;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
macOS;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
Xbox 360;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
PlayStation 3;tomb-raider;Tomb Raider (2013);2013-03-05;https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg;Action, Fighting
PC;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
PlayStation 5;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
Xbox One;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
PlayStation 4;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
Xbox Series S/X;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
Nintendo Switch;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
Xbox 360;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
PlayStation 3;the-elder-scrolls-v-skyrim;The Elder Scrolls V: Skyrim;2011-11-11;https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg;Action, RPG
PC;red-dead-redemption-2;Red Dead Redemption 2;2018-10-26;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg;Action
Xbox One;red-dead-redemption-2;Red Dead Redemption 2;2018-10-26;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg;Action
PlayStation 4;red-dead-redemption-2;Red Dead Redemption 2;2018-10-26;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg;Action
PC;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
Xbox One;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
PlayStation 4;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
Nintendo Switch;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
Linux;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
Xbox 360;bioshock-infinite;BioShock Infinite;2013-03-26;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg;Shooter, Action
