platform;slug;name;released;background_image;genre
PC;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
PlayStation 4;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
Xbox One;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
Nintendo Switch;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
macOS;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
Linux;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
Wii U;140-itch;140;15/10/2013;https://media.rawg.io/media/screenshots/560/560f7bd45d2f8ce3deb42c97fd1d1f49.jpg;Indie, Platformer, Arcade, Action
PC;hackgu-last-recode;.hack//G.U. Last Recode;02/11/2017;https://media.rawg.io/media/screenshots/1e7/1e7a15446704ebf235ce49660d1db0a2.jpg;RPG
PlayStation 4;hackgu-last-recode;.hack//G.U. Last Recode;02/11/2017;https://media.rawg.io/media/screenshots/1e7/1e7a15446704ebf235ce49660d1db0a2.jpg;RPG
Nintendo Switch;hackgu-last-recode;.hack//G.U. Last Recode;02/11/2017;https://media.rawg.io/media/screenshots/1e7/1e7a15446704ebf235ce49660d1db0a2.jpg;RPG
PC;10-second-ninja-x;10 Second Ninja X;19/07/2016;https://media.rawg.io/media/screenshots/085/0851d86b5e8250ee33af5ab56544989b.jpg;Indie, Action
